№,Река,Область,Место старта,Место финиша,Дистанция,Год,Кол-во дней,"От Москвы, км",Особенность,Стоянки,Координаты стоянок,Фотоотчёт,Координаты старта,Координаты финиша
1,Нерская,Московская,Земснаряд,Хотеичи,19,2015,2,85,недалеко и красиво,много,,,"55.565210, 38.867957","55.509202, 38.762451"
2,Нерская,Московская,Земснаряд,Хотеичи,19,2020,2,85,недалеко и красиво,много,,,"55.565210, 38.867957","55.509202, 38.762451"
3,Осётр,Московская,Протекино,Городна,27,2016,2,180,красивые берега,мало,,,"54.826791, 38.796610","54.940448, 38.791084"
4,Осётр,Московская,Протекино,Городна,27,2019,2,180,красивые берега,мало,,,"54.826791, 38.796610","54.940448, 38.791084"
5,Осётр,Московская,Большие Белыничи,Карманово,19,2017,2,190,красивые берега,мало,,,"54.626760, 38.820931","54.707377, 38.867134"
6,Осётр,Московская,Михалёво,Зарайск,21,2022,2,230,для осени идеально,мало,"54.699155, 38.849551",,"54.663290, 38.790331","54.755090, 38.858924"
7,Осётр,Московская,Протекино,Берхино,28,2023,2,180,красивые берега,мало,"54.900843, 38.755451",,"54.829112, 38.803821","54.940840, 38.790111"
8,Волга,Тверская,Будаево,Ельцы,39,2015,2,330,сильное течение,мало,,,"56.830087, 33.511531","56.659040, 33.829774"
9,Тудовка,Тверская,Молодой Туд,Заволжский,48,2018,3,250,соло,мало,,,"56.425653, 33.624924","56.294297, 34.097290"
10,Медведица,Тверская,Берег,Шенское,17,2017,2,230,красивые берега,много,,,"57.237828, 36.134594","57.174185, 36.306955"
11,Волкота - Западная Двина,Тверская,Быстри,Андреаполь,55,2017,3,410,майские,мало,,,"56.843669, 32.110350","56.662366, 32.292917"
12,Западная Двина,Тверская,Любенькино,Железово,33,2019,2,400,красивые берега,мало,,,"56.541823, 32.241529","56.401290, 32.098174"
13,Велеса - Западная Двина,Тверская,Бибирево,Селечня,100,2019,4,380,майские,мало,,,"56.372049, 32.301682","56.058996, 31.957888"
14,Велеса - Западная Двина,Тверская,Сосвятское,Селечня,50,2020,3,390,красивые берега,мало,,,"56.156934, 32.188982","56.058996, 31.957888"
15,Охват - Западная Двина,Тверская,Бдынь,Курово,20,2022,2,400,сильный ветер,много,"56.745206, 32.363069",,"56.759881, 32.405257","56.674187, 32.290047"
16,Поведь - Осуга - Тверца,Тверская,Трубино,Тверецкий,25,2020,2,270,красивые берега,мало,,,"57.198664, 34.681705","57.259132, 34.827153"
